cluster,source_id
Alessi_9,5954244592768709632
NGC_2516,5293995281966793216
NGC_2516,5294162167215764992
NGC_2516,5290720867621791872
NGC_2516,5290743648127929856
NGC_2516,5290818758516639104
NGC_2632,661246022364851072
NGC_2632,661291136701346304
NGC_2632,661297080936069632
NGC_2632,661300551269631360
NGC_2632,661311443306610688
NGC_2632,661324431287688448
NGC_2632,662794169095142912
NGC_3532,5339532861745113216
NGC_3532,5340161266999026944
NGC_3532,5340186143451130112
NGC_3532,5338706819273897216
NGC_3532,5338660674153534848
NGC_3532,5338663869609445248
NGC_6475,4041599414270468480
